date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
2025-09-18,2025,"Amélioration de l'accès aux services de Protection et d’'Eau, Hygiène et Assainissement pour les personnes déplacées et les communautés hôtes de la Zone Métropolitaine de Port-au-Prince affectées par la multiplicité des crises",35880,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Solidarités International,NGOs,Protection,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,commitment,2025-08-12,2025-07-30,,30713,EUR,0.877,354914,ECHO/-AM/BUD/2024/91007,2025-09-18,2026-02-03
2025-09-18,2025,"Amélioration de l'accès aux services de Protection et d’'Eau, Hygiène et Assainissement pour les personnes déplacées et les communautés hôtes de la Zone Métropolitaine de Port-au-Prince affectées par la multiplicité des crises",741616,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Solidarités International,NGOs,Water Sanitation Hygiene,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,commitment,2025-08-12,2025-07-30,,634823,EUR,0.877,354915,ECHO/-AM/BUD/2024/91007,2025-09-18,2026-02-03
2025-09-18,2025,"Projet de veille, coordination et réponse humanitaire multisectorielle au travers d’un mécanisme de réponse rapide (RRM) visant à couvrir les besoins des populations vulnérables affectés par la crise humanitaire en Haïti.",15794,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Agency for Technical Cooperation and Development,NGOs,,HTI,,,,2026,2026,financial,Standard,Cash transfer programming (CTP),incoming,single,commitment,2025-08-12,2025-08-06,,13772,EUR,0.897,355451,ECHO/-AM/BUD/2025/91038,2025-09-18,2026-02-03
2025-09-18,2025,"Projet de veille, coordination et réponse humanitaire multisectorielle au travers d’un mécanisme de réponse rapide (RRM) visant à couvrir les besoins des populations vulnérables affectés par la crise humanitaire en Haïti.",421519,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Agency for Technical Cooperation and Development,NGOs,Multipurpose Cash,HTI,,,,2026,2026,financial,Standard,Cash transfer programming (CTP),incoming,single,commitment,2025-08-12,2025-08-06,,367565,EUR,0.897,355452,ECHO/-AM/BUD/2025/91038,2025-09-18,2026-02-03
2025-09-18,2025,"Projet de veille, coordination et réponse humanitaire multisectorielle au travers d’un mécanisme de réponse rapide (RRM) visant à couvrir les besoins des populations vulnérables affectés par la crise humanitaire en Haïti.",226946,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Agency for Technical Cooperation and Development,NGOs,Coordination and support services,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,commitment,2025-08-12,2025-08-06,,197897,EUR,0.897,355457,ECHO/-AM/BUD/2025/91038,2025-09-18,2026-02-03
2025-09-18,2025,"Projet de veille, coordination et réponse humanitaire multisectorielle au travers d’un mécanisme de réponse rapide (RRM) visant à couvrir les besoins des populations vulnérables affectés par la crise humanitaire en Haïti.",4619,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Agency for Technical Cooperation and Development,NGOs,,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,commitment,2025-08-12,2025-08-06,,4028,EUR,0.897,355458,ECHO/-AM/BUD/2025/91038,2025-09-18,2026-02-03
2025-09-18,2025,"Projet de veille, coordination et réponse humanitaire multisectorielle au travers d’un mécanisme de réponse rapide (RRM) visant à couvrir les besoins des populations vulnérables affectés par la crise humanitaire en Haïti.",496389,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Agency for Technical Cooperation and Development,NGOs,Multipurpose Cash,HTI,,,,2026,2026,financial,Standard,Cash transfer programming (CTP),incoming,single,commitment,2025-08-12,2025-08-06,,432851,EUR,0.897,355459,ECHO/-AM/BUD/2025/91038,2025-09-18,2026-02-03
2025-09-18,2025,"Projet de veille, coordination et réponse humanitaire multisectorielle au travers d’un mécanisme de réponse rapide (RRM) visant à couvrir les besoins des populations vulnérables affectés par la crise humanitaire en Haïti.",204971,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Agency for Technical Cooperation and Development,NGOs,Protection,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,commitment,2025-08-12,2025-08-06,,178735,EUR,0.897,355460,ECHO/-AM/BUD/2025/91038,2025-09-18,2026-02-03
2025-09-18,2025,Providing quality education in emergency services to the most vulnerable and at risk children and adolescents in contexts of violence in Haiti.,36151,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Save the Children,NGOs,Protection,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,commitment,2025-08-12,2025-08-02,,31524,EUR,0.872,361888,ECHO/-AM/BUD/2024/91005,2025-09-18,2026-02-03
2025-09-18,2025,Providing quality education in emergency services to the most vulnerable and at risk children and adolescents in contexts of violence in Haiti.,364595,European Commission's Humanitarian Aid and Civil Protection Department,Multilateral Organizations,,2025,2025,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,1503,Save the Children,NGOs,Education,HTI,,,,2026,2026,financial,Standard,Traditional aid,incoming,single,commitment,2025-08-12,2025-08-02,,317927,EUR,0.872,361890,ECHO/-AM/BUD/2024/91005,2025-09-18,2026-02-03
