market_id,market,countryiso3,admin1,admin2,latitude,longitude
8056,Marché de Cote-De-Fer,HTI,South-East,Cotes de Fer,18.19,-73.01
8057,Marché de Anse-A-Pitre,HTI,South-East,Anse-a-Pitre,18.04,-71.76
8058,Marché de Cayes-Jacmel,HTI,South-East,Cayes-Jacmel,18.23,-72.4
8059,Marché en Fer Jacmel,HTI,South-East,Jacmel,18.23,-72.54
8060,Marché Publique de la Vallée,HTI,South-East,La Vallee,18.27,-72.66
8061,Marché de Bainet,HTI,South-East,Bainet,18.18,-72.76
8062,Marché de Plaisance,HTI,North,Plaisance,19.6,-72.47
8063,Marché de Dondon,HTI,North,Dondon,19.53,-72.24
8064,Marché de La Victoire,HTI,North,La Victoire,19.34,-72.02
8065,Marché Cluny,HTI,North,Cap-Haitien,19.76,-72.2
8066,Marché de Milot,HTI,North,Milot,19.61,-72.22
8067,Marché de Quartier Morin,HTI,North,Quartier Morin,19.7,-72.16
8068,Place du Marché du Limbé,HTI,North,Limbe,19.7,-72.4
8069,Marché de Pilate,HTI,North,Pilate,19.67,-72.55
8070,Marché de Borgne,HTI,North,Borgne,19.85,-72.52
8071,Marché de Bas Limbe,HTI,North,Acul du Nord,19.74,-72.35
8072,Marché de Limonade,HTI,North,Limonade,19.67,-72.12
8073,Marché de Bahon,HTI,North,Bahon,19.47,-72.11
8074,Marché de Port Margot,HTI,North,Port-Margot,19.75,-72.43
8075,Marché de St. Raphael,HTI,North,Saint-Raphael,19.44,-72.2
8076,Marché de Plaine Du Nord,HTI,North,Plaine du Nord,19.68,-72.27
8077,Marché de Acul Du Nord,HTI,North,Acul du Nord,19.68,-72.32
8078,Marché de Trou Du Nord,HTI,North-East,Trou du Nord,19.62,-72.02
8079,Marché de Ferrier,HTI,North-East,Ferrier,19.62,-71.77
8080,Marché de Ouanaminthe,HTI,North-East,Ouanaminthe,19.55,-71.73
8081,Marché de Terrier Rouge,HTI,North-East,Terrier Rouge,19.63,-71.96
8082,Marché de Caracol,HTI,North-East,Caracol,19.69,-72.02
8083,Marché de Capotille,HTI,North-East,Capotille,19.44,-71.69
8084,Marché de Carice,HTI,North-East,Carice,19.38,-71.83
8085,Marché de La Chapelle,HTI,Artibonite,La Chapelle,18.91,-72.31
8086,Marché de Anse Rouge,HTI,Artibonite,Anse Rouge,19.63,-73.06
8087,Marché de Desdunes,HTI,Artibonite,Desdunes,19.29,-72.64
8088,Marché de L'estere,HTI,Artibonite,Dessalines,19.3,-72.61
8089,Marché publique de Marmelade,HTI,Artibonite,Marmelade,19.52,-72.36
8090,Marché de Grande Saline,HTI,Artibonite,Grande Saline,19.25,-72.77
8091,Marché de Gonaives,HTI,Artibonite,Gonaives,19.45,-72.69
8092,Marché publique de Verrettes,HTI,Artibonite,Verrettes,19.05,-72.46
8093,Marché de Petite Riviere De L'arti*,HTI,Artibonite,Petite Riviere de l'Artibonite,19.12,-72.48
8094,Marché de Dessalines / Marchandes,HTI,Artibonite,Dessalines,19.26,-72.52
8095,Marché de Terre Neuve,HTI,Artibonite,Terre Neuve,19.6,-72.78
8096,Marché de Saint-Marc,HTI,Artibonite,Saint-Marc,19.11,-72.7
8097,Marché de Saut-D'eau,HTI,Centre,Saut d'Eau,18.81,-72.2
8098,Marché croix fer,HTI,Centre,Belladere,18.85,-71.81
8099,Marché de Savanette,HTI,Centre,Savanette,18.74,-71.82
8100,Marché Paskannòt,HTI,Centre,Mirebalais,18.84,-72.1
8101,Marché de Thomassique,HTI,Centre,Thomassique,19.08,-71.84
8102,Marché de Boucan Carre,HTI,Centre,Boucan Carre,18.92,-72.15
8103,Marché de Hinche,HTI,Centre,Hinche,19.15,-72.01
8104,Marché de Lascahobas,HTI,Centre,Lascahobas,18.83,-71.94
8105,Marché de Port-A-Piment,HTI,South,Port-a-Piment,18.25,-74.1
8106,Marché de Arniquet,HTI,South,Port-Salut,18.15,-73.87
8107,Marché de Roche-A-Bateau,HTI,South,Roche a Bateau,18.18,-74
