countrycode,countryname,adminone,adminlevel,population,date,datatype,fcs people,fcs prevalence,rcsi people,rcsi prevalence,health access people,health access prevalence,market access people,market access prevalence
HTI,Haiti,,national,,2026-02-10,SURVEY,8366275,0.7037901969942097,7292963,0.6135007355652883,,,9361220,0.7874872470611037
HTI,Haiti,,national,,2026-02-09,SURVEY,8324439,0.7002708569436554,7248646,0.6097726881176259,,,9308826,0.7830797438913759
HTI,Haiti,,national,,2026-02-08,SURVEY,8325213,0.7003359675947486,7159835,0.6023017035772835,,,9332297,0.7850541256842991
HTI,Haiti,,national,,2026-02-07,SURVEY,8147692,0.6854024948651756,7126022,0.5994572766452301,,,9357135,0.7871435942520225
HTI,Haiti,,national,,2026-02-06,SURVEY,8165499,0.6869002953884993,7093878,0.5967532498122391,,,9366433,0.7879257506569358
HTI,Haiti,,national,,2026-02-05,SURVEY,8091163,0.6806471460336004,7079362,0.5955321306762356,,,9326422,0.7845599630422231
HTI,Haiti,,national,,2026-02-04,SURVEY,8040537,0.6763883710694703,7130622,0.5998442391711061,,,9338504,0.7855763150472471
HTI,Haiti,,national,,2026-02-03,SURVEY,8082195,0.6798927373527187,7218588,0.6072441403778908,,,9341945,0.7858658179966588
HTI,Haiti,,national,,2026-02-02,SURVEY,8064958,0.6784427214704307,7253848,0.6102102922610186,,,9276807,0.7803862222969019
HTI,Haiti,,national,,2026-02-01,SURVEY,8082703,0.6799354714751416,7231012,0.6082892756869089,,,9200725,0.7739862191990093
HTI,Haiti,,national,,2026-01-31,SURVEY,8096378,0.6810858437667402,7203924,0.6060105711432286,,,9205712,0.774405624516404
HTI,Haiti,,national,,2026-01-30,SURVEY,8075694,0.6793458583569099,7193523,0.6051356152233076,,,9247513,0.777921912272264
HTI,Haiti,,national,,2026-01-29,SURVEY,8110065,0.6822372255257979,7185224,0.6044374843532544,,,9224674,0.7760006917526142
HTI,Haiti,,national,,2026-01-28,SURVEY,8080067,0.6797137251233569,7133330,0.6000720423276436,,,9237832,0.7771078598145073
HTI,Haiti,,national,,2026-01-27,SURVEY,8019133,0.6745878176121115,7112124,0.598288145083355,,,9180406,0.772276769579479
HTI,Haiti,,national,,2026-01-26,SURVEY,8032537,0.6757153927635988,7163677,0.6026249014086782,,,9187815,0.7729000316210286
HTI,Haiti,,national,,2026-01-25,SURVEY,8146828,0.6853298132081413,7297256,0.6138618725486765,,,9288823,0.7813970289922887
HTI,Haiti,,national,,2026-01-24,SURVEY,8016535,0.6743692435594392,7413415,0.6236334750804773,,,9317576,0.7838158139134227
HTI,Haiti,,national,,2026-01-23,SURVEY,8022881,0.6749033571883768,7409694,0.6233204143931216,,,9407511,0.7913813307630149
HTI,Haiti,,national,,2026-01-22,SURVEY,8043631,0.676648645429266,7297981,0.6139228612076462,,,9418441,0.7923007736081318
HTI,Haiti,,national,,2026-01-21,SURVEY,7950346,0.668801297771365,7263353,0.611009874610682,,,9450628,0.7950084316119584
HTI,Haiti,,national,,2026-01-20,SURVEY,8010678,0.6738765607730288,7220792,0.6074295459011584,,,9425879,0.7929265237079797
HTI,Haiti,,national,,2026-01-19,SURVEY,8043104,0.6766043071758235,7202823,0.6059179525038831,,,9394056,0.7902494797345511
HTI,Haiti,,national,,2026-01-18,SURVEY,7914122,0.6657540577167913,7129107,0.5997167939044317,,,9358954,0.7872966259559657
HTI,Haiti,,national,,2026-01-17,SURVEY,7878899,0.6627910211773845,7111869,0.5982666938998554,,,9368198,0.7880742456240695
